feature,importance
num__clases_padel_jugador_1_equipo,0.13630626
num__frecuencia_deporte_jugador_2_equipo,0.10063403
num__diferencia_marcador,0.099105
num__frecuencia_deporte_jugador_2_rival,0.08348791
num__talla_jugador_2_rival,0.072950155
num__estatura_jugador_1_rival,0.06804829
num__talla_jugador_2_equipo,0.06355462
num__edad_jugador_2_rival,0.05696931
num__nivel_actual_padel_jugador_1_rival,0.054277
num__nivel_actual_padel_jugador_1_equipo,0.053482108
num__edad_jugador_2_equipo,0.04939004
num__vel_prom_acum_rival,0.04818118
num__estatura_jugador_1_equipo,0.041373506
num__gano_punto,0.033993196
num__racha_ultimos3_equipo,0.031154795
num__acel_prom_acum_rival,0.0070925974
num__dist_companero_prom_rival,0.0
num__hits_equipo,0.0
num__velocidad_prom_equipo,0.0
num__duracion_punto,0.0
num__punto,0.0
num__velocidad_max_rival,0.0
num__desplazamiento_equipo,0.0
num__desplazamiento_rival,0.0
num__dist_red_prom_equipo,0.0
num__dist_red_prom_rival,0.0
num__dist_companero_prom_equipo,0.0
num__velocidad_prom_rival,0.0
num__velocidad_max_equipo,0.0
num__hits_acum_rival,0.0
num__hits_acum_equipo,0.0
num__desplaz_acum_rival,0.0
num__desplaz_acum_equipo,0.0
num__vel_max_acum_rival,0.0
num__vel_max_acum_equipo,0.0
num__vel_prom_acum_equipo,0.0
num__marcador_rival,0.0
num__aceleracion_prom_equipo,0.0
num__marcador_equipo,0.0
num__velocidad_max_pelota,0.0
num__velocidad_prom_pelota,0.0
num__hits_rival,0.0
num__aceleracion_prom_rival,0.0
num__win_rate_acum_equipo,0.0
num__racha_ultimos3_rival,0.0
num__practica_otro_deporte_raqueta_jugador_1_equipo,0.0
num__tiempo_jugando_padel_jugador_1_equipo,0.0
num__experiencia_padel_jugador_1_equipo,0.0
num__edad_jugador_1_equipo,0.0
num__es_primer_punto,0.0
num__vel_pelota_acum,0.0
num__frecuencia_deporte_jugador_1_equipo,0.0
num__estado_fisico_jugador_1_equipo,0.0
num__talla_jugador_1_equipo,0.0
num__lesiones_ly_jugador_1_equipo,0.0
num__experiencia_padel_jugador_2_equipo,0.0
num__dist_red_acum_equipo,0.0
num__dist_red_acum_rival,0.0
num__dist_comp_acum_equipo,0.0
num__dist_comp_acum_rival,0.0
num__acel_prom_acum_equipo,0.0
num__estatura_jugador_2_equipo,0.0
num__estado_fisico_jugador_2_equipo,0.0
num__practica_otro_deporte_raqueta_jugador_2_equipo,0.0
num__nivel_actual_padel_jugador_2_equipo,0.0
num__tiempo_jugando_padel_jugador_2_equipo,0.0
num__tiempo_jugando_padel_jugador_1_rival,0.0
num__experiencia_padel_jugador_1_rival,0.0
num__lesiones_ly_jugador_2_equipo,0.0
num__estado_fisico_jugador_1_rival,0.0
num__practica_otro_deporte_raqueta_jugador_1_rival,0.0
num__talla_jugador_1_rival,0.0
num__frecuencia_deporte_jugador_1_rival,0.0
num__lesiones_ly_jugador_1_rival,0.0
num__clases_padel_jugador_1_rival,0.0
num__edad_jugador_1_rival,0.0
num__clases_padel_jugador_2_equipo,0.0
num__tiempo_jugando_padel_jugador_2_rival,0.0
num__experiencia_padel_jugador_2_rival,0.0
num__nivel_actual_padel_jugador_2_rival,0.0
num__practica_otro_deporte_raqueta_jugador_2_rival,0.0
num__estado_fisico_jugador_2_rival,0.0
num__estatura_jugador_2_rival,0.0
num__lesiones_ly_jugador_2_rival,0.0
num__clases_padel_jugador_2_rival,0.0
cat__genero_jugador_1_equipo_Femenino,0.0
cat__genero_jugador_1_equipo_Masculino,0.0
cat__genero_jugador_2_equipo_Femenino,0.0
cat__genero_jugador_2_equipo_Masculino,0.0
cat__genero_jugador_1_rival_Femenino,0.0
cat__genero_jugador_1_rival_Masculino,0.0
cat__genero_jugador_2_rival_Femenino,0.0
cat__genero_jugador_2_rival_Masculino,0.0
